test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,1,What type of law is intended to enforce the rules and regulations of governmental agencies:,Procedural,Administrative,Statutory,Commercial,B,Administrative,"Administrative. Administrative law deals with the rules and regulations that have been established by governmental agencies. Most governmental agencies have an effect on business in some manner, such as issuing licenses or prohibiting unfair trade practices. Administrative law implements the rules and regulations, which also involves resolving disputes. Statutory, commercial, and procedural are not types of law that enforce the rules and regulations of governmental agencies."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,2,In which of the following situations is a settlement most likely to occur:,A defendant feels they have a strong chance of winning.,A struggling company wants to gain publicity.,A complicated case involves multiple defendants.,A small company does not have the funds to go to court.,D,A small company does not have the funds to go to court.,"A small company does not have the funds to go to court. Settlement occurs when the defendant in a case agrees to some or all of the plaintiff's claims and decides not to go to court, usually instead paying a monetary amount. Settlement is often a more affordable option than a costly legal battle that the defendant may not even win. Therefore, if a small company is the defendant in a case, it might agree to settle to save money. Settlements can keep companies out of the spotlight, rather than bringing them publicity. If a defendant feels they have a strong chance of winning, they might want to pursue the case in court rather than settling because they could receive a much larger payment. Finally, complicated cases with many defendants are more difficult to settle because some might want to settle while others do not."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,3,Technology impacts just-in-time inventory management by,causing disruptions in the supply chain.,eliminating the need for supplier relationships.,increasing warehouse storage costs.,allowing inventory to be monitored regularly.,D,allowing inventory to be monitored regularly.,"Allowing inventory to be monitored regularly. Technology such as enterprise resource systems allows inventory to be constantly monitored and automatically alerts businesses when levels are running low. Technology does not eliminate the need for supplier relationships, cause disruptions in the supply chain, or increase warehouse storage costs."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,4,"Arbitration is usually a binding process, which means that it",is costly and risky.,ends with imprisonment.,replaces the trial.,is confidential.,C,replaces the trial.,"Replaces the trial. Arbitrations are binding, which means they can replace a trial. Binding processes do not necessarily include confidentiality, high cost and risk, or imprisonment."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,5,One advantage of mediation is that it often is not as __________ as litigation.,flexible,hostile,necessary,personal,B,hostile,"Hostile. Mediation occurs when a neutral third party acts as a mediator between two parties in disagreement. While the mediator cannot make a decision that resolves the disagreement, they can work with both sides to find points of agreement to help provide solution suggestions. This process asks the parties to come together, unlike in litigation, which is often combative and hostile when parties are pitted against each other. Mediation is more flexible than litigation because it does not impose a resolution on both parties. Both mediation and litigation can be personal. The necessity of either mediation or litigation depends on the disagreement."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,6,"If a nation's supreme court ruled that segregated schools are unconstitutional, then a(n) __________ would be created.",common law,state law,federal agency,international law,A,common law,"Common law. Common law is law created by court decisions rather than through written legislation. Since there are no courts that can overrule a nation's supreme court, its decisions have the force of law, including if it ruled that segregated schools are unconstitutional. This example does not depict the creation of a federal agency, state law, or international law."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,7,Which of the following is a barrier to effective listening:,Concentration,Empathy,Open-mindedness,Distractions,D,Distractions,"Distractions. Distractions are any occurrences or noises that attract the listener's attention away from the speaker. They can be a major block to effective listening. Concentration is focusing one's attention. Open- mindedness means being receptive to new ideas. Empathy is being able to put yourself in another's place. These alternatives would aid listening, not hinder it."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,8,Which of the following is an effective strategy for identifying important information while reading:,Skipping the preface and introduction to spend more time on the main content,Skimming the text instead of reading it all word for word,Reading only the first and last paragraphs of the text,"Paying special attention to headings, titles, and graphics",D,"Paying special attention to headings, titles, and graphics","Paying special attention to headings, titles, and graphics. One of the best strategies for extracting important information from a text is to pay attention to headings, titles, and graphics. These elements often point the reader to the main issues presented in the text and can help the reader better comprehend the information they are reading. It would be unwise to skip or simply skim any portion of a text. Important information could be presented in any section, including the preface or introduction."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,9,"Jayne wants to send an email to several of her business contacts, but she wants to respect the recipients' privacy and not share their email addresses with everyone. She should send her email using",an attachment.,blind carbon copy (BCC).,reply all.,carbon copy (CC).,B,blind carbon copy (BCC).,"Blind carbon copy (BCC). If Jayne does not want to share email addresses with everyone, she should send the email using blind carbon copy (BCC), which hides email addresses from the email's recipients. Carbon copy (CC) does not hide email addresses. Jayne should not reply all, and she does not necessarily need to send an attachment to respect recipient privacy."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,10,An individual calls your company and asks to speak with your coworker Rhonda. What should you do if Rhonda is not available to take the call?,Tell the caller that you would be glad to take their order.,Put the caller on hold while you track down Rhonda.,Ask the caller if they would like to leave a message.,Advise the caller to call again in a few minutes.,C,Ask the caller if they would like to leave a message.,"Ask the caller if they would like to leave a message. If a caller wants to speak to a specific employee who is unavailable, it is most courteous to ask if you can take a message or ask the caller if they would like to leave a voicemail. There isn't enough information to determine if the caller wants to place an order or if you are in the position to help the caller. If Rhonda is in a meeting or out of the building, putting the caller on hold until you track her down or asking them to call back in a few minutes are not viable options. Additionally, placing a caller on hold for a long time and telling them to call later are rude responses."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,11,Daniel is developing a complex document that provides supporting evidence that his company made a good decision when it expanded its operations overseas. What type of analytical report is Daniel writing?,Troubleshooting,Feasibility,Justification,Cause and effect,C,Justification,"Justification. Analytical reports are documents that summarize information about issues, opportunities, or problems. Justification reports provide facts and data that support a previous decision or action such as profits or market share realized from a business expansion overseas. A feasibility report summarizes the positive and negative consequences of taking a certain course of action that has not yet occurred. Troubleshooting reports address specific problems, such as an issue with a process. Cause and effect reports provide information about a variety of scenarios under different circumstances—if actions A and B happen, then the probable result will be C. This type of report helps the business consider pros and cons of each scenario to determine which action it should take."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,12,“The Mason and Lambert Research Group used personal interviews and focus groups to obtain the information for the study.” This statement is most likely to be placed in the __________ section of a research report.,results,introduction,methodology,abstract,C,methodology,"Methodology. The methodology section focuses on the procedures used to gather the information for the study. In the situation provided, the marketing research firm used personal interviews and focus groups to gather information. The introduction states the problem, purpose, and significance of the study or investigation. The abstract is a synopsis of the report's contents. The results section contains the analysis of the research findings."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,13,Employees can demonstrate their customer service mindset by using good,business activities.,promotional plans.,marketing strategies.,phone skills.,D,phone skills.,"Phone skills. Customers often judge the quality of a business’s service by the treatment they receive over the phone. Handling telephone calls in a prompt, courteous manner helps project a customer service mindset. Marketing strategies are plans of action for achieving marketing goals and objectives. Promotional plans are frameworks for the promotional activities of a business. Business activities are specific actions that are part of the operation of a business."
