test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,1,"While doing a cost-benefit analysis, Janae found it quite difficult to measure certain items in dollar amounts. Such costs or benefits are most likely to be __________ costs or benefits.",opportunity,one-time,intangible,hidden,C,intangible,"Intangible. A cost or benefit that is difficult to measure in dollar amounts is referred to as an intangible. Intangibles include costs and benefits such as increased or decreased employee morale, increased or decreased customer goodwill, etc. One-time costs are expenses the business pays only once when implementing a decision or project. Opportunity costs refer to what a business will lose if it chooses to spend resources on one decision or project rather than another. A cost-benefit analysis does not include “hidden” costs."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,2,Which of the following is a benefit of establishing incident reporting procedures in the workplace:,Employees use their judgment to determine if a report should be issued.,Managers who create these procedures are not required to follow up on incidents.,Managers who have information about incidents can investigate possible causes.,Employees cannot file official complaints if an incident is reported correctly.,C,Managers who have information about incidents can investigate possible causes.,"Managers who have information about incidents can investigate possible causes. Establishing procedures for reporting workplace incidents is very important to promoting workplace safety. These procedures should allow for efficient communication of incidents that occur and provide management with the information they need to investigate the factors that led to the incident occurring. Therefore, reporting processes can lead to a decrease in workplace incidents. Incident reporting procedures should provide guidance about what types of incidents need to be reported, taking the decision out of the hands of employees. Although employees can still file complaints about workplace incidents, those incidents that resulted in timely, detailed reports can help clear up any issues about whether or not the company has created a dangerous work environment. Managers should always follow up on incidents that occur in the workplace."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,3,"For project managers, the most important part of managing stakeholder expectations is",justifying them.,understanding them.,competing against them.,delegating them.,B,understanding them.,"Understanding them. For project managers, the most important part of managing stakeholder expectations is understanding them. Only when project teams feel they fully comprehend what stakeholders expect can they start to manage those expectations. It would not make sense to compete against stakeholder expectations or delegate them. Stakeholders would be the ones justifying their expectations, not project managers."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,4,"When Nilesh started a new job, he trained alongside another employee for a few weeks so that he could get the hang of his job duties. The time that Nilesh spent training with the other employee is an example of a(n)",emergency.,resource issue.,government regulation.,transition period.,D,transition period.,"Transition period. Transition periods are designed to allow you to adjust to your new surroundings over time. By adjusting slowly to his new job duties, Nilesh was less likely to feel overwhelmed. Resource issues occur when you don't have enough of a resource (people, money, information, ideas, and other essential items that are used to produce or do something). Government regulations deal with laws. Emergencies include situations like fires or floods that demand quick action and adaptation by everyone involved."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,5,The first step in an organizational risk assessment is,pinpointing who might be harmed.,evaluating the risks and making a plan.,recording and implementing your findings.,identifying the potential hazards.,D,identifying the potential hazards.,"Identifying the potential hazards. A risk assessment is a careful assessment of what could cause harm within an organization, along with determining whether the organization is doing enough to prevent those risks. The first step in a risk assessment is identifying the potential hazards. After the risks are identified, the next steps include determining who might be harmed by the risks, evaluating the risks and making a plan, and recording and implementing your findings."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,6,A primary advantage for marketers who use direct mail to promote products is that,most marketers find that it is more effective than micro-marketing methods.,it is usually less expensive than personal selling methods.,it is more effective in creating brand awareness than television advertising.,marketers can deliver their messages to a broad audience.,B,it is usually less expensive than personal selling methods.,"It is usually less expensive than personal selling methods. Direct mail is defined as promotional messages that are sent directly to consumers' homes and businesses. Direct mail appears in many forms, including postal mail (e.g., catalogs, sales letters) and email. Personal selling is a form of promotion that determines client needs and wants and responds through planned, personalized communication that influences purchase decisions and enhances future business opportunities. Although developing direct-mail pieces can be expensive, personal selling is generally considered the most expensive promotional method. Micro-marketing is a general term that is sometimes used to describe target marketing. Direct mail (e.g., junk mail, spam) is not necessarily more effective in creating brand awareness than television advertising. Direct mail is used more often with targeted markets, rather than broad audiences."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,7,"Kyra is a business owner who wants to calculate individual employee productivity. She knows that last month, her team of four workers generated $10,000 worth of goods by working 200 hours in an office space measuring 1,000 square feet. What is the labor productivity per employee for the whole month?","$40,000",$12.50,$800,"$2,500",D,"$2,500","$2,500. Labor productivity is calculated by dividing total output by total input. To calculate the productivity of each employee, divide the output by the number of workers, which equals $2,500 for the whole month ($10,000 / 4 = $2,500). The number of hours worked is not relevant unless you wish to calculate the labor productivity per hour. The size of a workspace is not relevant to labor productivity calculations."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,8,Le'veon wants to create a marketing mix that includes both push and pull strategies. Which marketing mix should he choose?,Mass media advertising and sales promotions,Referrals and sales promotions,Getting retailers to stock the product and creating a supply chain,Customer relationship management and trade shows,D,Customer relationship management and trade shows,"Customer relationship management and trade shows. Customer relationship management is a pull strategy, while trade shows are a push strategy. Push strategies involve promoting products to intermediaries, who then promote the products to customers. Pull strategies involve promoting products directly to the ultimate consumer or industrial user; intermediaries then purchase the products from the manufacturer to meet customer demand. Mass media advertising and sales promotions are both pull strategies. Getting retailers to stock the product and creating a supply chain are both push strategies. Referrals and sales promotions are both pull strategies."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,9,Which of the following is an effective negotiation strategy:,"Using a ""give-and-take"" tactic to reach an agreement",Giving the other person as much time as they need to decide,Pushing the other person into making a decision,Insisting on your terms during the negotiation process,A,"Using a ""give-and-take"" tactic to reach an agreement","Using a ""give-and-take"" tactic to reach an agreement. This tactic is known as bargaining, and it can be a highly effective negotiation strategy. Each person proposes solutions and uses ""give-and-take"" tactics to reach an agreement. You may have to give up something, but you get something in return. During negotiations, you should give the salesperson a specific deadline to meet your request. It's a way of making the negotiation real and specific. An advantage to this strategy is that it introduces a deadline as a negotiable point. If you set a deadline earlier than is necessary, you can build in negotiating room. Similarly, if you show no flexibility whatsoever during a negotiation, the other person may decide that it's not worth their time to speak with you."
1287,ENTREPRENEURSHIP EXAM,Entrepreneurship Sample Exam.pdf,10,"Determine the cost of goods sold for a business when the beginning inventory was $250,000, purchases were $600,000, and the ending inventory was $200,000.","$1,050,000","$650,000","$400,000","$150,000",B,"$650,000","$650,000. To determine the cost of goods sold, the beginning inventory and purchases are added together to obtain the goods available for sale. The ending inventory is then subtracted from that amount to obtain the cost of goods sold. In this problem, $250,000 (beginning inventory) + $600,000 (purchases) = $850,000 (goods available for sale) - $200,000 (ending inventory) = $650,000 (cost of goods sold)."
