test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,1,Which of the following best represents the correct order for organizing a job that must be completed:,"Identify, classify, prioritize, schedule, perform","Classify, identify, prioritize, perform, schedule","Identify, prioritize, classify, schedule, perform","Prioritize, identify, classify, perform, schedule",A,"Identify, classify, prioritize, schedule, perform","Identify, classify, prioritize, schedule, perform. The best order is to list your activities, determine frequency, rank in order of importance, put activities in a time plan, and do the activities as planned. The alternatives are not the best order to follow because they involve doing tasks out of sequence."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,2,Which of the following statements most accurately describes the financial-services industry today:,"Banks, insurance companies, securities firms, and other financial institutions are sometimes owned by a single large firm offering a complete range of financial services.","The financial-services industry is largely unregulated, with little federal oversight.",The only place to pursue a career as a securities broker is a traditional financial securities firm on Wall Street.,"It is highly segmented, with separate businesses for separate services.",A,"Banks, insurance companies, securities firms, and other financial institutions are sometimes owned by a single large firm offering a complete range of financial services.","Banks, insurance companies, securities firms, and other financial institutions are sometimes owned by a single large firm offering a complete range of financial services. Since deregulation of the financial-services industry in 1999 (the Gramm-Leach-Bliley Act), financial-services providers are allowed to offer a broad range of services. Before deregulation, the industry was highly segmented, with separate businesses for separate services. A career as a securities broker can be pursued in many places, not just at a traditional financial-services firm on Wall Street. The financial-services industry is highly regulated by the U.S. Securities and Exchange Commission."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,3,Tiana is responsible for receiving all shipments for the Castle of Chocolate. She fails to notice that several items that her business ordered and paid for were not shipped. Her error is most likely to,create unhappy customers.,decrease inventory cost.,increase inventory cost.,increase shipping costs.,C,increase inventory cost.,"Increase inventory cost. When an employee fails to notice that all of the items that were ordered have not been received, the business' inventory costs increase; the business paid for items that it didn't receive. There's no indication that the missing inventory would create unhappy customers. Missing items would not increase shipping costs for the Castle of Chocolate."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,4,Which of the following is an example of a long-term business goal:,Develop departmental budgets,Expand into new markets,Hire an accountant,Create a sales presentation,B,Expand into new markets,"Expand into new markets. Expanding a business into new markets is a long-term business goal that typically takes over a year to accomplish. Creating a sales presentation, hiring an accountant, and developing departmental budgets are examples of short-term business goals that can be accomplished in a year's time or less."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,5,Which of the following are common categories of commodities:,"Metals, grains, and consumer goods","Energy, grains, and consumer goods","Energy, metals, and consumer goods","Energy, metals, and grains",D,"Energy, metals, and grains","Energy, metals, and grains. Commodities are raw, primary products commonly categorized as energy, metals, and agricultural products, which are often further divided into grains, livestock, and softs. Energy commodities include different types of fuel, including natural gas, crude oil, heating oil, etc. Metals commodities include precious and industrial metals such as gold, silver, and copper. Grains are probably the most popular of the commodities and include corn, soybeans, wheat, etc. Livestock include cattle and hogs, while softs are food and fiber commodities such as cocoa, cotton, orange juice, etc. Consumer goods (tangible items produced for personal use) are finished goods, not raw, primary products; therefore, they are not referred to as commodities."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,6,One factor that has stimulated financial globalization is an increase in,foreign regulation.,domestic investment preferences.,protectionism.,domestic competition.,D,domestic competition.,"Domestic competition. Globalization is the rapid and unimpeded flow of capital, labor, and ideas across national borders, which includes the integration of financial markets, especially capital markets. Due to increased domestic competition, financial companies have been seeking new markets in foreign countries. Reduced regulation has also encouraged financial globalization. Protectionism is a government's policy to protect domestic industries and businesses against foreign competition. These types of policies do not encourage globalization."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,7,Companies that effectively allocate costs,increase profits and expenses.,improve short-term and hurt long-term decision-making.,spread costs among departments.,determine one department to cover all costs.,C,spread costs among departments.,"Spread costs among departments. Cost allocation refers to the process of identifying, assigning, and accumulating costs to a company's cost objects. Cost objects are any activity or item to which a company assigns costs, which can be a product or product line, a project, or a department. Cost allocation helps a company determine which parts of a business are responsible for which costs by spreading costs among departments (not just one department). This process can help a company make better-informed decisions, both in the short term and the long term. Companies that effectively allocate costs typically increase their profits and lower their expenses. They do this by determining which cost objects are most profitable. If a cost object is not profitable and is causing the business to pay more expenses, then the company would do further evaluations on it."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,8,"If you are taking out a mortgage loan on a new home, which of the following is most likely to be used as collateral:",Cash in your savings account,Your car,The new home,Future paychecks,C,The new home,"The new home. A mortgage is a type of secured loan, meaning the borrower pledges to the lender some valuable possession as collateral, or security, to guarantee that the loan will be repaid. In the case of a mortgage, the collateral is almost always the home itself. Lenders order appraisals of homes to ensure the property—the collateral—is worth the risk. If you don't repay the mortgage, the lender has the right to foreclose the home, meaning you'll lose the collateral. Although your car, cash in your savings account, and future paychecks are common forms of collateral for personal loans, they are not typically used for mortgages."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,9,Which aspect of a company's financial statements can provide information about its bottom line?,Cash flow trends,Earnings and revenue growth,Dividends paid,Liabilities,B,Earnings and revenue growth,"Earnings and revenue growth. A company's financial statements can provide important information to investors. One of the most important pieces of information is about the company's bottom line: whether it is profitable and by how much. Information about earnings and revenue growth can help an investor determine the company's profitability. While cash flow trends, liabilities, and dividends paid are all important pieces of information that can be obtained from financial statements, they are not related to the company's bottom line."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,10,"Duncan works for a marketing firm, but he has decided to take a second job doing marketing for a local business. What is a potential ethical issue that could cause risks associated with this decision?",Conflict of interest,Lack of accountability,Misuse of resources,Product liability,A,Conflict of interest,"Conflict of interest. Conflicts of interest are situations in which it is impossible to be truly impartial. An example of a conflict of interest is taking on a second job that could be in competition with your primary job or could take away your focus from your primary job. This type of conflict of interest is an ethical issue that Duncan is creating, which could lead to risk for his employers. Duncan's decision is not related to lack of accountability, misuse of resources, or product liability."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,11,The way you follow up with a customer when showing a customer service mindset will vary according to,the customer's level of frustration.,the type of service you have provided the customer.,how far away the customer is located.,how much attention your supervisor paid to the customer.,B,the type of service you have provided the customer.,"The type of service you have provided the customer. The way you follow up with a customer when showing a customer service mindset will vary according to the type of service you have provided. Employees should follow up with customers to be certain that they have received satisfaction from the product or company's services. The way you follow up should not be based on levels of frustration, supervisory attention, or distance. All customers are important. Following up suggests to customers that you care about their continued satisfaction."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,12,"When you know what your values are and align your behavior with them, you will",be able to set priorities and goals easily.,feel conflicted in your decision-making.,never again struggle with an ethical dilemma.,find fulfillment in career but not personal life.,A,be able to set priorities and goals easily.,"Be able to set priorities and goals easily. When you know what your values are and align your behavior with them, you will be able to set priorities and goals that will make you feel fulfilled, motivated, and happy. You will not necessarily feel conflicted in your decision-making. You will also not necessarily find fulfillment in your career but not your personal life. While knowing what your values are will help you with ethical situations, it will not necessarily help you avoid all struggles with ethical dilemmas."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,13,An important purpose of full-disclosure laws and regulations is to,provide information to investors so they can make informed decisions.,prevent a stock's par value from dropping below its market value.,require companies to disclose all information about their operations.,allow company employees to use inside information for personal gain.,A,provide information to investors so they can make informed decisions.,"Provide information to investors so they can make informed decisions. Full-disclosure laws and regulations require companies to disclose—publicize—any information that could affect the value of the firms' stocks. Investors need this information so they can make informed buy, hold, or sell decisions about investments. Full- disclosure laws also prevent company employees and other insiders from using privileged information for their personal gain. Full-disclosure laws do not require companies to disclose every bit of information about their operations—some undisclosed trade secrets are permitted. Full-disclosure laws and regulations are not designed to impact par values of stock."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,14,Which of the following is an example of job loss due to cyclical unemployment:,Ryan recently lost his job in the construction industry during a time of economic contraction.,Tristan lost his management job when the coal supply had been depleted at the mine where he worked.,Lizzy's temporary job at a gourmet food company ended in January after the holiday rush.,Hannah left her position as a human resources manager so she could attend graduate school.,A,Ryan recently lost his job in the construction industry during a time of economic contraction.,"Ryan recently lost his job in the construction industry during a time of economic contraction. Cyclical unemployment occurs during periods of time when there is low demand for workers due to economic conditions and fluctuations in the business cycle. When the economy slows, consumer spending tends to fall, which causes many businesses to decrease production. When production decreases, there is not enough work for employees, so businesses implement layoffs, which causes unemployment to rise. Lizzy's situation is an example of seasonal unemployment. Seasonal unemployment occurs when people are out of work because of factors that involve the time of year. Frictional unemployment describes people who are temporarily between jobs due to layoffs, resignations, or educational pursuits, as is the case in Hannah's situation. Structural unemployment results when people do not have the job skills for jobs that currently exist. These people often have skills and training needed to work but are unemployed due to factors such as technological advancements or lacking natural resources (e.g., depleted coal mine)."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,15,A business determines how much it costs to make a product and then adds a predetermined markup to set its selling price. This is an example of,price-based costing.,economies of scale.,cost-based pricing.,gross profit.,C,cost-based pricing.,Cost-based pricing. Determining how much it costs to make a product and adding a predetermined markup is a method known as cost-based pricing. Price-based costing is determining how much customers will pay for a product and then whittling down costs so the business can still make a profit. Economies of scale are cost savings created by increased levels of production. Gross profit is a company's revenue after subtracting the costs of the products it has sold.
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,16,What are the basic components of a business budget?,"Inventory, variable costs, and profits","Fixed costs, variable costs, and semi-variable costs","Fixed assets, inventory, and investments","Total revenues, total costs, and profit",D,"Total revenues, total costs, and profit","Total revenues, total costs, and profits. The basic budgeting equation is Total Revenues - Total Costs = Profit. The total costs identified in this equation include all costs and expenses. Total revenues include all sales revenues from all sources. Profit is the difference between the two. Fixed, variable, and semi-variable costs are the three main types of costs that combine to make total costs. Inventory is not a basic component in budgeting, although aspects involving inventory do appear in a budget. Fixed assets and investments are important aspects of accounting and therefore do impact budgets, but they are not among the basic components of a business budget."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,17,"If a company pays more in dividends than it receives in net income, the statement of changes in equity will show that retained earnings will be",the same as the previous period.,zero.,lower than the previous period.,higher than the previous period.,C,lower than the previous period.,"Lower than the previous period. The formula for a statement of changes in equity is: beginning earnings + net income - dividends = retained earnings. If dividends are higher than net income, retained earnings will be lower than beginning earnings. In order for retained earnings to stay the same, the net income would have to be exactly equal to the dividend payments. For retained earnings to be higher than the previous period, net income would have to exceed dividends. For retained earnings to equal zero, the dividend payments would have to be equal to the beginning earnings and net income would have to be zero."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,18,"Stacy, a poodle owner, chose her dog's groomer based on the friendliness and attentiveness of the staff. Even though the prices are higher than other groomers, Stacy would never consider going somewhere else. This example demonstrates the importance of",building and maintaining customer relationships.,setting prices higher to create an image of luxury.,outpricing the competition through sales and giveaways.,earning new customers rather than focusing on current ones.,A,building and maintaining customer relationships.,"Building and maintaining customer relationships. One of the best ways to differentiate a business from the competition is by offering excellent customer service. By building and maintaining strong customer relationships, businesses can retain current customers and turn them into loyal brand ambassadors. It is more expensive to acquire new customers than it is to retain current customers, so businesses should focus on satisfying the needs of their current customers before attempting to earn new customers. This example does not demonstrate the importance of setting high prices for brand image or outpricing the competition through sales and giveaways."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,19,Which of the following is a tool that can be used to carry out scanning activities:,Manufacturing equipment,Market research studies,Personnel records,Budgeting software,B,Market research studies,"Market research studies. Market research studies are a tool that can be used to carry out scanning activities. They can provide useful information about customer attitudes, demographic changes, etc. Manufacturing equipment, personnel records, and budgeting software are all tools that a business can use to enhance or manage its internal environment."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,20,"Casey's Tree Removal Services has a set of rules, practices, and processes by which the organization is controlled. Because of the company's strict adherence to these rules and processes, it has never had any major problems with unethical behavior or mismanagement. Instead, the company enjoys a positive relationship with its customers, employees, and the public. This example demonstrates the benefits of",good corporate governance.,setting SMART goals.,ethics training in the workplace.,public relations initiatives.,A,good corporate governance.,"Good corporate governance. Corporate governance is the combined set of rules, practices, and processes by which an organization is managed. Benefits of effective corporate governance include fewer incidents of misconduct, smoother day-to-day operations, and better relationships with stakeholders. This example demonstrates how adherence to corporate governance policies can benefit an organization. Ethics training, public relations initiatives, and SMART goals can also benefit companies, but they are not demonstrated in this example."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,21,Capital gains taxes may be imposed on,"stocks, real estate, and financial gifts.","stocks, bonds, and financial gifts.","bonds, real estate, and financial gifts.","stocks, bonds, and real estate.",D,"stocks, bonds, and real estate.","Stocks, bonds, and real estate. When investments such as stocks, bonds, and real estate are sold at a profit, a capital gains tax may be levied. A capital gain is the difference between the purchase price and sales price of an asset. Investors can reduce their capital gains taxes in a number of ways, including selling some investments at a loss to offset the profit generated by the sale of other investments. Capital gains taxes can also be reduced by keeping investments for a longer length of time. Short-term capital gains are taxed at a higher rate than long-term and super-long-term capital gains. The capital gain generated by a real estate sale is often not taxed if the seller owned the home for at least 2 years. A gift tax, not a capital gains tax, may be imposed on financial gifts."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,22,"While making a sale, an employee decides to keep the customer's money rather than ringing up the sale. This is an example of business risk caused by __________ human behavior.",careless,dishonest,incompetent,ethical,B,dishonest,"Dishonest. Human risks are chances of loss caused by human weaknesses and unpredictability. Dishonest behavior is a form of human risk that includes all forms of stealing, cheating, or lying. Failing to ring a sale and keeping the firm's money is a form of dishonesty. Careless behavior occurs when employees fail to pay attention to details. An incompetent employee is one who does not have the skills to do the job correctly. Ethical behavior is moral conduct."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,23,Which of the following types of data should be maintained in an effective financial-information management system:,Reports on the effectiveness of ad campaigns,Data on current customer trends,Statistics on demographic shifts,Information on external market conditions,D,Information on external market conditions,"Information on external market conditions. Financial-information management involves collecting, maintaining, and reporting data about financial transactions; assisting in the preparation of financial statements; supporting budgeting activities; and storing and protecting customer financial information. Information that should be stored in an effective financial-information management system includes data about organizational finances, internal operational information, and data on external market conditions. Data on current customer trends, statistics on demographic shifts, and reports on the effectiveness of ad campaigns would be more relevant to marketing managers than to financial-information managers."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,24,"Lean operations focus on increasing efficiency by reducing __________, while Six Sigma focuses on continuously improving __________ throughout the business.",wages; automation,standards; waste,automation; standards,waste; quality,D,waste; quality,"Waste; quality. Businesses are constantly looking for ways to use their resources more efficiently. Two popular methods of achieving this goal are lean operations (manufacturing) and Six Sigma. The lean-operations method involves eliminating waste (the ineffective use of resources) to improve efficiency. According to the lean- operations philosophy, when efficiency increases, the business will have fewer errors, which leads to higher profits. Six Sigma is a quality-management framework that involves continuously setting higher goals of perfection. The Six Sigma framework builds upon previous goals to set higher goals, which continuously improves the quality of the business's goods, services, or processes. The ultimate goal is to maximize outputs, have no process or product defects, and minimize production costs. Therefore, an important aspect of the Six Sigma philosophy is to continuously lower costs while improving quality. Lean operations do not focus on reducing wages, automation, or standards. Six Sigma does not focus on improving waste."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,25,Michelle is a small business owner who has outdated customer information in her computer files. What type of application should Michelle use to update her database?,Environmental scanning,Customer relationship management,Tabulation analysis,Application programming interface,B,Customer relationship management,"Customer relationship management. Customer relationship management (CRM) applications would allow Michelle to easily manage, update, and organize her customers' information. Businesses use application programming interfaces (APIs) to exchange documents. Tabulation analysis involves summarizing or tallying the responses obtained from research. Environmental scanning involves collecting information about the environment surrounding the business."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,26,"Matthew received a loan for $20,000 from a financial institution to help him pay for his college education. The loan is helping him cover the cost of his tuition while he is in school, and when he graduates, he will repay the financial institution. This is an example of which form of financial exchange?",Bitcoin,Debit,Cash,Credit,D,Credit,"Credit. Credit is borrowed money that individuals can use to purchase goods and services when they need them. You get credit from a credit grantor, whom you agree to pay back for the total cost of the amount you spent (plus applicable interest charges) at an agreed-upon time. Matthew received $20,000 in credit from a financial institution to pay for college. He benefits from this credit because without it he may not be able to afford tuition. This example does not demonstrate the use of cash, debit, or bitcoin."
