test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,1,One of the reasons why a chain of hotels might analyze and interpret the marketing information contained in databases is to,compare variables.,organize products.,tabulate findings.,survey guests.,A,compare variables.,"Compare variables. A chain of hotels might analyze and interpret the marketing information contained in databases in order to compare several variables that change from property to property. For example, one hotel might be located in an affluent suburb while another one is located in an urban area. The chain might analyze the information in its database concerning both communities in order to make appropriate marketing decisions such as the types of services to offer in each location. Although the chain provides the same types of goods and services to both communities, it needs to analyze data in order to know if the consumers in each community have different wants and needs. Before analyzing databases to compare variables, a chain of hotels might survey guests and tabulate the findings. A chain would not analyze databases in order to organize products."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,2,Which of the following is an accurate statement about sleep:,The amount of sleep people need varies from person to person.,Going to bed early will ensure that you get enough sleep.,The amount of sleep you get does not affect your health.,Everyone needs eight hours of sleep each night.,A,The amount of sleep people need varies from person to person.,"The amount of sleep people need varies from person to person. It was once thought that everyone needed eight hours of sleep every night. Studies now indicate that is not true. While the amount of sleep you get will affect your health, you have to determine what amount is right for you. Going to bed early may give you an adequate amount of rest, but it does not guarantee the amount of sleep you will get."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,3,"When preparing to deliver an oral presentation, the most important step is",practicing the delivery.,writing useful note cards.,conducting research.,choosing the best visual aid.,A,practicing the delivery.,"Practicing the delivery. When preparing to deliver an oral presentation, practicing the delivery is most important because it uncovers any problems with timing, transitions, note cards, visual aids, and even language. Conducting research, writing useful note cards, and choosing the best visual aid are all important steps, but they do not affect other areas as much as practice does."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,4,"Quantum Cable customers can get internet, phone, and TV service for a single low price. This is an example of",product separation.,consumer demand.,combined marketing.,product bundling.,D,product bundling.,"Product bundling. Product bundling occurs when a company sells a group of products for a lower price than if the consumer purchased each product separately. One common “bundle” includes internet, phone, and TV service. Consumer demand, product separation, and combined marketing are not terms used to describe product bundling."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,5,Which of the following is an example of motivation as a means of directing:,A manager pays attention to what time employees clock in.,Andy's boss asks him to stay an hour late to finish his project.,Emmie praises her employees for quality work.,Employees engage in team-building exercises.,C,Emmie praises her employees for quality work.,"Emmie praises her employees for quality work. Motivation is the process of getting employees to strive to achieve management's objectives because they want to achieve them. Emmie is motivating her employees by offering them praise when they achieve high-quality work. Paying attention to what time employees clock in, team-building activities, and asking an employee to stay late to finish a project are not necessarily examples of motivation."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,6,"Countries record the flow of imports, exports, foreign aid, business investment, foreign investments, and money spent by tourists in order to determine their",number of multinationals.,volume of production.,balance of payments.,need for trade missions.,C,balance of payments.,Balance of payments. Balance of payments is the difference between all monies coming into a country and going out of a country. Nations need to have more money coming in than going out. The volume of production is recorded to calculate productivity levels. The number of multinationals would show how many businesses have facilities located abroad. A trade mission is a group of volunteer businesspeople sponsored by the government to inform exporters about foreign markets.
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,7,"Jeremy's Nutrition Company brands its new J-Bar protein bar with a logo, tagline, and color scheme. What is the final stage of brand loyalty that new products like the J-Bar strive to reach?",Brand awareness,Brand preference,Brand insistence,Brand recognition,C,Brand insistence,Brand insistence. Brand insistence is the final stage of brand loyalty in which consumers insist upon buying a specific brand. Brand awareness is one of the first stages of branding and is the extent to which customers or potential customers are familiar with a brand. Brand preference comes before insistence and is the stage of brand loyalty in which consumers prefer to purchase a certain brand but will accept substitutes if the brand is not available. Brand recognition is the stage of brand loyalty in which consumers are made aware of a brand's existence.
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,8,Which of the following is appropriate to include in a letter of application:,The reasons for your partner's frequent job changes,Your list of references,Your work experiences that relate to the job opening,The ages of your children,C,Your work experiences that relate to the job opening,Your work experiences that relate to the job opening. The letter of application is intended to provide information about the job applicant so the reader understands how the applicant is qualified for a specific job opening. It should stress the applicant's strengths so the reader knows the person's qualifications and feels positively about them. References are often provided once requested by the employer and are not necessary in a letter of application. Only relevant information should be presented in the letter of application. The ages of the applicant's children and reasons for a partner's frequent job changes are not considered relevant for most job openings.
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,9,A company hangs a poster with its brand promise in its customer service department to make sure employees have the brand in mind. This is an example of a,private brand.,touchpoint.,logo.,brand cue.,D,brand cue.,"Brand cue. Brand cues are simple reminders of the brand's identity and values. Brand cues are a great way to remind employees about the brand values and brand promise. Touchpoints are all the opportunities that businesses have to connect with customers and reinforce their brand. Logos are distinctive symbols, designs, or groups of letters. A private brand is owned by the intermediary (retailer, wholesaler, or other distributor) that sells the brand rather than the manufacturer."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,10,"An advertisement for a spa promotes its clean facility, gentle massage therapists, and peaceful atmosphere. The spa is communicating the core customer value of",relaxation.,sociability.,adventure.,knowledge.,A,relaxation.,"Relaxation. A core customer value is the basic need addressed by a product. For example, spa visitors often seek (or need) relaxation. The spa is responding to this need by promoting its clean facility, gentle staff, and peaceful atmosphere, which are not elements typically needed by those seeking adventure, sociability, or knowledge."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,11,"To make it easier to track invoices, businesses should consider",only accepting electronic payments.,reminding clients of deadlines.,limiting their client base.,investing in invoice tracking software.,D,investing in invoice tracking software.,"Investing in invoice tracking software. Invoice tracking software makes it easy to manage invoices automatically and integrate the invoicing process with the rest of business operations. Only accepting electronic payments will not necessarily make it easier to track invoices. Limiting a client base is not necessarily a smart business decision and will not help the business grow. Reminding clients of deadlines is a good idea, but it will not necessarily make the tracking process easier."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,12,The price of merchandise in a market economy is controlled by,supply and demand.,consumers' knowledge.,business competition.,government decisions.,A,supply and demand.,"Supply and demand. Basically, prices are set in a market economy by the amount of a product available for sale (supply) and the amount that is desired by the market (demand). Governments set prices in command economies. Competition in a market economy affects price but doesn't control it. The knowledge consumers have about goods or services may affect their buying decisions but does not control prices."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,13,"As a salesperson for a business specializing in high-priced electronic computers, which promotional tool are you most likely to use to communicate with buyers?",Personal selling,Sales promotion,Advertising,Publicity,A,Personal selling,"Personal selling. Personal selling is planned, personalized communication intended to influence purchase decisions. It is often used with high-priced or complex items. Advertising can be used to attract people to the business but is not generally used by salespeople. Publicity is any nonpersonal presentation of ideas, goods, or services that is not paid for by the individual or business that receives it. Sales promotion is activities such as couponing, displays, contests, free samples, or rebates used to stimulate purchases. These are initiated by the business, not the salesperson."
