test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,1,"When participating in a project-status meeting, it is important for a participant to",provide information about new company policies.,take notes for the group.,monopolize the conversation.,be prepared to provide an update.,D,be prepared to provide an update.,"Be prepared to provide an update. It is important for a meeting participant to be prepared to present the required information at a scheduled meeting. Being unprepared is unprofessional and inconsiderate of the other participants' time. Without the necessary information, the meeting may need to be rescheduled. Meeting participants should not monopolize the conversation. New company policies would be relevant only if they affect the project. Otherwise, they should be communicated outside the project-status meeting. It is not always necessary to take notes for the group."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,2,Camilla believes that women tend to work more efficiently and focus more on important details than men do. Camilla's personal bias is associated with a stereotype based on,age.,education.,culture.,gender.,D,gender.,"Gender. A stereotype is a set image or assumption about a person or thing. When people stereotype others, they tend to classify certain people as part of a group that possesses certain characteristics. These characteristics are often based on distorted beliefs or unproven information. When people stereotype others, they fail to see an individual who possesses unique skills, values, and attitudes. People stereotype others in a variety of ways, one of which is by gender. Camilla's assumption that women are more efficient and more detail- oriented than men is a distorted belief. In fact, many men in the workplace are very efficient and detail-oriented. A stereotype by age might hold the false belief that most senior citizens are set in their ways or that they don't keep up with technological changes. An assumption about a person's customs, habits, or traditions is a stereotype based on culture. An assumption about a person that is based on their level of education is also a form of stereotyping. For example, assuming a person is not smart because they did not attend college is an educational stereotype and is a belief that simply isn't true."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,3,"When reordering merchandise, retailers must compare the financial impact of storing the inventory against the",fixed expenses.,selling price.,interest rates.,ordering costs.,D,ordering costs.,"Ordering costs. Ordering costs are the expenses that retailers incur to buy merchandise. The price they pay for the items, shipping charges, taxes, personnel salaries, and some operational expenses (e.g., phone charges) might be considered when determining the ordering costs. Ordering costs are often compared to the cost of warehousing the product for a certain period of time. When warehousing costs are less than ordering costs, retailers generally reorder more products on a less frequent basis. The selling price is the price that the end user pays for an item. Fixed expenses refer to the payables that remain the same for a set period of time. Insurance and rent are examples of a business's fixed expenses. Interest is defined as the money payments for the use of borrowed money. The interest rate is the percentage figure used in calculating interest charges for a loan."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,4,Which of the following is something that can be found in the situation analysis section of a marketing plan:,Information on a market exit strategy,How the target market will use a product,Strengths and weaknesses of competition,A company's mission statement,C,Strengths and weaknesses of competition,"Strengths and weaknesses of competition. In a marketing plan, situation analysis is the determination of a firm’s current marketing situation. A situation analysis covers several key areas, which are sometimes referred to as the 5 C's: company, customers, competitors, collaborators, and climate. Information about the strengths and weaknesses of a company's main competitors is included in the situation analysis. A company's mission statement can be found in the executive summary of a marketing plan. Information about how the target market will use a product can be found in the desired target market section. Information on a market exit strategy is located in the marketing strategies and programs section."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,5,Which of the following sources of product information might be found on furniture that must be assembled:,Stamp,Seal,Brochure,Ticket,C,Brochure,Brochure. Items that are sold disassembled must include directions for assembly so that purchasers can put them together properly. These directions are usually printed in a brochure or a leaflet. A grade is a designation of product quality usually indicated by a stamp. A ticket is a price tag that may also contain inventory information. A seal is a symbol which indicates quality and safety backed by a testing organization.
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,6,"Julio, a guest services employee at a concert venue, was approached by a customer complaining about the service they received. Although he wasn't exactly sure how to handle the customer's problem, Julio listened attentively as the customer spoke and thanked them for bringing the problem to his attention. When following the general steps employees can take to handle customer complaints appropriately, what should Julio do next?",Restate the complaint in his own words to show an understanding,Promptly investigate the problem by checking the company policy,Explain the plan of action to the customer and take action,Promptly investigate the problem by talking to his manager,A,Restate the complaint in his own words to show an understanding,"Restate the complaint in his own words to show an understanding. After Julio listened attentively to the customer's complaints and thanked the customer for bringing the problem to his attention, he should restate the complaint in his own words to show an understanding. This is the third step in the general steps employees can take to handle customer complaints appropriately. By doing this, Julio will demonstrate to the customer that he was listening and is taking their concerns seriously. Generally, Julio's next step would be to promptly investigate the problem by either talking with his manager or checking the company policy. When customers express complaints, employees should be able to follow a procedure that lines up with company policies. After explaining the concert venue's policy to the customer, Julio's final step will be to explain the plan of action to the customer and take that action."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,7,"Greg attempts to help a customer at his store purchase a sofa, but after looking at all the available models, the customer decides not to make a purchase. Greg asks the customer why he doesn't want to buy, and the customer explains that he can find similar sofas for a better price at other stores. By talking to the customer, Greg solicited __________ that can help the store determine future pricing.",blame,compliments,advice,feedback,D,feedback,"Feedback. It's important for people in many careers, including sales, to solicit feedback from customers. Feedback can help you learn why a customer didn't make a purchase, which is information you can use to improve the business. By asking the customer why he didn't make a purchase, Greg is not soliciting compliments, blame, or advice."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,8,A salesperson who explains to a customer how a certain product offers comfort as well as safety is describing __________ benefits.,exclusive,unique,hidden,obvious,C,hidden,"Hidden. Hidden benefits are advantages that cannot be seen or understood without the assistance of a salesperson. Comfort and safety are examples of benefits that may not be apparent to a customer unless a salesperson explains them. Being thoroughly competent in pointing out the benefits of products will enable salespeople to increase sales. Unique or exclusive benefits are benefits that a competitor's good or service does not possess. Obvious benefits are advantages of a product which are apparent, plain to see, and easily recognizable."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,9,Which of the following is a presale opportunity for salespeople to provide customer service:,Technical assistance and support,Providing ample product information,Maintenance and repair,Shipping and delivery,B,Providing ample product information,"Providing ample product information. Providing ample product information is a presale opportunity for salespeople to provide customer service. Successful salespeople make sure that customers have all the information they need to make sound, well-informed decisions. This occurs during the sales presentation. Shipping and delivery, maintenance and repair, and technical assistance and support are all post-sale aspects of customer service."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,10,What law sets standards for production and sale of poisonous substances?,"Federal Food, Drug, and Cosmetic Act",Public Health Cigarette Smoking Act,Federal Trade Commission Act,Fair Packaging and Labeling Act,A,"Federal Food, Drug, and Cosmetic Act","Federal Food, Drug, and Cosmetic Act. The law bans the production, transportation, and sale of misbranded or adulterated foods, drugs, cosmetics, and medical devices; requires testing of new drugs and generic labeling of all drugs; sets standards for production and sale of poisonous substances; and sets quality standards for foods. The Fair Packaging and Labeling Act includes laws that require product labels to identify the product, provide the name and address of the producer or distributor, and describe the contents of packages. The Public Health Cigarette Smoking Act bans radio and TV advertising of tobacco products. The Federal Trade Commission Act established the Federal Trade Commission."
